fk_schema	pk_schema	fk_fields	pk_fields	surjectivity
specimen	donor	donor_id	donor_id	true
sample	specimen	specimen_id	specimen_id	true
ssm_s	ssm_p	analysis_id,analyzed_sample_id,mutation_id	analysis_id,analyzed_sample_id,mutation_id	false
ssm_m	sample	analyzed_sample_id	analyzed_sample_id	false
ssm_m	sample	matched_sample_id	analyzed_sample_id	false
cnsm_p	cnsm_m	analysis_id,analyzed_sample_id	analysis_id,analyzed_sample_id	true
cnsm_s	cnsm_p	analysis_id,analyzed_sample_id,mutation_id	analysis_id,analyzed_sample_id,mutation_id	false
cnsm_m	sample	analyzed_sample_id	analyzed_sample_id	false
cnsm_m	sample	matched_sample_id	analyzed_sample_id	false
exp_m	sample	analyzed_sample_id	analyzed_sample_id	false
exp_g	exp_m	analysis_id,analyzed_sample_id	analysis_id,analyzed_sample_id	true
meth_m	sample	analyzed_sample_id	analyzed_sample_id	false
meth_m	sample	matched_sample_id	analyzed_sample_id	false
meth_p	meth_m	analysis_id,analyzed_sample_id	analysis_id,analyzed_sample_id	true
meth_s	meth_p	analysis_id,analyzed_sample_id,methylated_fragment_id	analysis_id,analyzed_sample_id,methylated_fragment_id	false
mirna_p	mirna_m	analysis_id,analyzed_sample_id	analysis_id,analyzed_sample_id	true
mirna_s	mirna_p	mirna_seq	mirna_seq	false
mirna_m	sample	analyzed_sample_id	analyzed_sample_id	false
pexp_p	pexp_m	analysis_id,analyzed_sample_id	analysis_id,analyzed_sample_id	true
pexp_m	sample	analyzed_sample_id	analyzed_sample_id	false
ssm_p	ssm_m	analysis_id,analyzed_sample_id	analysis_id,analyzed_sample_id	true
stsm_p	stsm_m	analysis_id,analyzed_sample_id	analysis_id,analyzed_sample_id	true
stsm_s	stsm_p	analysis_id,analyzed_sample_id,sv_id,placement	analysis_id,analyzed_sample_id,sv_id,placement	false
stsm_m	sample	analyzed_sample_id	analyzed_sample_id	false
stsm_m	sample	matched_sample_id	analyzed_sample_id	false
jcn_p	jcn_m	analysis_id,analyzed_sample_id	analysis_id,analyzed_sample_id	true
jcn_m	sample	analyzed_sample_id	analyzed_sample_id	false
sgv_m	sample	analyzed_sample_id	analyzed_sample_id	false
sgv_m	sample	matched_sample_id	analyzed_sample_id	false
sgv_p	sgv_m	analysis_id,analyzed_sample_id	analysis_id,analyzed_sample_id	true
